Rank,Title,Rating,Genre,Members,Type,Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
1,Fullmetal Alchemist: Brotherhood,9.17,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen","25,34,840",TV,64," Funimation, Aniplex of America", Bones, Manga, 24 min. ,Spring 2009,"1,80,194"
2,Shingeki no Kyojin Season 3 Part 2,9.11,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power","14,40,398",TV,10, Funimation, Wit Studio, Manga, 23 min. ,Spring 2019,"41,251"
3,Steins;Gate,9.1,"Sci-Fi, Psychological, Drama, Thriller","19,88,573",TV,24, Funimation, White Fox, Visual novel, 24 min. ,Spring 2011,"1,53,226"
4,Fruits Basket: The Final,9.1,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo","2,19,428",TV,13, Funimation, TMS Entertainment, Manga, 23 min. ,Spring 2021,"9,072"
5,Gintama°,9.09,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","4,55,835",TV,51," Funimation, Crunchyroll", Bandai Namco Pictures, Manga, 24 min. ,Spring 2015,"11,740"
6,Hunter x Hunter (2011),9.07,"Action, Adventure, Fantasy, Shounen, Super Power","19,99,750",TV,148, VIZ Media, Madhouse, Manga, 23 min. ,Fall 2011,"1,54,575"
7,Ginga Eiyuu Densetsu,9.06,"Military, Sci-Fi, Space, Drama","2,52,288",OVA,110, Sentai Filmworks," K-Factory, Kitty Film Mitaka Studio", Novel, 26 min. ,Null,"13,243"
8,Gintama',9.06,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","4,06,132",TV,51," None found, add some", Sunrise, Manga, 24 min. ,Spring 2011,"6,090"
9,Gintama': Enchousen,9.04,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","2,46,557",TV,13," None found, add some", Sunrise, Manga, 24 min. ,Fall 2012,"2,425"
10,3-gatsu no Lion 2nd Season,8.99,"Drama, Game, Seinen, Slice of Life","3,05,858",TV,22, Aniplex of America, Shaft, Manga, 25 min. ,Fall 2017,"12,282"
11,Gintama.,8.98,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","2,30,086",TV,12," None found, add some", Bandai Namco Pictures, Manga, 24 min. ,Winter 2017,"2,194"
12,Koe no Katachi,8.98,"Drama, School, Shounen","16,49,174",Movie,1," Eleven Arts, NYAV Post", Kyoto Animation, Manga, 2 hr. 10 min.,Null,"62,989"
13,Shingeki no Kyojin: The Final Season,8.97,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","11,97,276",TV,16, Funimation, MAPPA, Manga, 23 min. ,Winter 2021,"45,630"
14,Clannad: After Story,8.95,"Slice of Life, Comedy, Supernatural, Drama, Romance","9,88,243",TV,24, Sentai Filmworks, Kyoto Animation, Visual novel, 24 min. ,Fall 2008,"61,824"
15,Gintama,8.95,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","8,39,036",TV,201," Sentai Filmworks, Crunchyroll", Sunrise, Manga, 24 min. ,Spring 2006,"48,648"
16,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","1,85,993",Movie,1," None found, add some", Sunrise, Manga, 1 hr. 50 min.,Null,"1,862"
17,Kimi no Na wa.,8.92,"Romance, Supernatural, School, Drama","20,25,638",Movie,1," Funimation, NYAV Post", CoMix Wave Films, Original, 1 hr. 46 min.,Null,"71,893"
18,Owarimonogatari 2nd Season,8.92,"Mystery, Comedy, Supernatural, Vampire","3,06,185",TV,7, Aniplex of America, Shaft, Light novel, 22 min. ,Summer 2017,"6,796"
19,Code Geass: Hangyaku no Lelouch R2,8.91,"Action, Military, Sci-Fi, Super Power, Drama, Mecha","14,02,298",TV,25," Funimation, Bandai Entertainment", Sunrise, Original, 24 min. ,Spring 2008,"64,176"
20,Shiguang Dailiren,8.89,"Super Power, Drama, Fantasy","49,829",ONA,11, Funimation, Haoliners Animation League, Original, 23 min. ,Null,"1,349"
21,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.87,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","1,34,601",TV,14," None found, add some", Bandai Namco Pictures, Manga, 24 min. ,Summer 2018,840
22,Violet Evergarden Movie,8.85,"Slice of Life, Drama, Fantasy","2,76,925",Movie,1, Funimation, Kyoto Animation, Light novel, 2 hr. 20 min.,Null,"2,098"
23,Gintama: The Final,8.84,"Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen","49,042",Movie,1, Eleven Arts, Bandai Namco Pictures, Manga, 1 hr. 44 min.,Null,"1,020"
24,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.82,"Comedy, Sports, Drama, School, Shounen","8,70,275",TV,10, Sentai Filmworks, Production I.G, Manga, 24 min. ,Fall 2016,"12,780"
25,Mob Psycho 100 II,8.82,"Action, Slice of Life, Comedy, Supernatural","10,09,224",TV,13, Funimation, Bones, Web manga, 24 min. ,Winter 2019,"22,801"
26,Gintama.: Shirogane no Tamashii-hen,8.81,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","1,47,803",TV,12," None found, add some", Bandai Namco Pictures, Manga, 24 min. ,Winter 2018,938
27,Kizumonogatari III: Reiketsu-hen,8.81,"Action, Mystery, Supernatural, Vampire","3,50,977",Movie,1, Aniplex of America, Shaft, Light novel, 1 hr. 23 min.,Null,"5,555"
28,Odd Taxi,8.8,Mystery,"1,28,979",TV,13," None found, add some"," OLM, P.I.C.S.", Original, 23 min. ,Spring 2021,"2,254"
29,Sen to Chihiro no Kamikakushi,8.8,"Adventure, Supernatural, Drama","14,11,645",Movie,1," Walt Disney Studios, GKIDS", Studio Ghibli, Original, 2 hr. 4 min.,Null,"24,631"
30,Monster,8.79,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller","7,12,901",TV,74, VIZ Media, Madhouse, Manga, 24 min. ,Spring 2004,"30,135"
31,Monogatari Series: Second Season,8.78,"Mystery, Comedy, Supernatural, Romance, Vampire","5,53,595",TV,26, Aniplex of America, Shaft, Light novel, 24 min. ,Summer 2013,"20,555"
32,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.78,"Action, Supernatural, Magic, Fantasy","1,99,001",Movie,1, Aniplex of America, ufotable, Visual novel, 2 hr. 2 min.,Null,"4,617"
33,Cowboy Bebop,8.77,"Action, Adventure, Comedy, Drama, Sci-Fi, Space","13,99,263",TV,26," Funimation, Bandai Entertainment", Sunrise, Original, 24 min. ,Spring 1998,"61,420"
34,Jujutsu Kaisen (TV),8.77,"Action, Demons, Supernatural, School, Shounen","12,96,373",TV,24," None found, add some", MAPPA, Manga, 23 min. ,Fall 2020,"47,539"
35,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.77,"Drama, Historical, Josei","1,53,432",TV,12," None found, add some", Studio Deen, Manga, 24 min. ,Winter 2017,"2,677"
36,Mushishi Zoku Shou 2nd Season,8.75,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","2,15,515",TV,10, Aniplex of America, Artland, Manga, 23 min. ,Fall 2014,"1,162"
37,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.75,"Action, Historical, Demons, Supernatural, Shounen","7,05,031",Movie,1, Aniplex of America, ufotable, Manga, 1 hr. 56 min.,Null,"7,776"
38,Hajime no Ippo,8.74,"Comedy, Sports, Drama, Shounen","4,23,504",TV,75," Discotek Media, Geneon Entertainment USA", Madhouse, Manga, 23 min. ,Fall 2000,"15,470"
39,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.72,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen","2,39,574",OVA,4," ADV Films, Aniplex of America", Studio Deen, Manga, 30 min. ,Null,"5,463"
40,Vinland Saga,8.72,"Action, Adventure, Historical, Drama, Seinen","8,53,551",TV,24, Sentai Filmworks, Wit Studio, Manga, 24 min. ,Summer 2019,"22,578"
41,Mushishi Zoku Shou,8.71,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","2,45,506",TV,10, Aniplex of America, Artland, Manga, 24 min. ,Spring 2014,"1,282"
42,Code Geass: Hangyaku no Lelouch,8.71,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School","17,66,434",TV,25," Funimation, Bandai Entertainment", Sunrise, Original, 24 min. ,Fall 2006,"89,539"
43,Made in Abyss,8.71,"Sci-Fi, Adventure, Mystery, Drama, Fantasy","9,77,544",TV,13, Sentai Filmworks, Kinema Citrus, Web manga, 25 min. ,Summer 2017,"31,953"
44,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.71,"Sci-Fi, Adventure, Mystery, Drama, Fantasy","2,60,035",Movie,1, Sentai Filmworks, Kinema Citrus, Web manga, 1 hr. 45 min.,Null,"1,878"
45,Great Teacher Onizuka,8.7,"Slice of Life, Comedy, Drama, School, Shounen","6,45,923",TV,43," Discotek Media, Tokyopop", Studio Pierrot, Manga, 25 min. ,Summer 1999,"20,659"
46,Mononoke Hime,8.7,"Action, Adventure, Fantasy","9,69,372",Movie,1, GKIDS, Studio Ghibli, Original, 2 hr. 13 min.,Null,"16,453"
47,Shigatsu wa Kimi no Uso,8.7,"Music, Drama, Romance, School, Shounen","16,76,269",TV,22, Aniplex of America, A-1 Pictures, Manga, 22 min. ,Fall 2014,"71,037"
48,Mushishi,8.68,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","6,72,106",TV,26, Funimation, Artland, Manga, 25 min. ,Fall 2005,"22,775"
49,Ashita no Joe 2,8.68,"Action, Drama, Shounen, Slice of Life, Sports","34,649",TV,47," None found, add some", Tokyo Movie Shinsha, Manga, 24 min. ,Fall 1980,"1,648"
50,Haikyuu!! Second Season,8.68,"Comedy, Sports, Drama, School, Shounen","10,46,544",TV,25, Sentai Filmworks, Production I.G, Manga, 24 min. ,Fall 2015,"13,567"
1,Fullmetal Alchemist: Brotherhood,9.17,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen","25,34,840",TV,64," Funimation, Aniplex of America", Bones, Manga, 24 min. ,Spring 2009,"1,80,194"
2,Shingeki no Kyojin Season 3 Part 2,9.11,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power","14,40,398",TV,10, Funimation, Wit Studio, Manga, 23 min. ,Spring 2019,"41,251"
3,Steins;Gate,9.1,"Sci-Fi, Psychological, Drama, Thriller","19,88,573",TV,24, Funimation, White Fox, Visual novel, 24 min. ,Spring 2011,"1,53,226"
4,Fruits Basket: The Final,9.1,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo","2,19,428",TV,13, Funimation, TMS Entertainment, Manga, 23 min. ,Spring 2021,"9,072"
5,Gintama°,9.09,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","4,55,835",TV,51," Funimation, Crunchyroll", Bandai Namco Pictures, Manga, 24 min. ,Spring 2015,"11,740"
6,Hunter x Hunter (2011),9.07,"Action, Adventure, Fantasy, Shounen, Super Power","19,99,750",TV,148, VIZ Media, Madhouse, Manga, 23 min. ,Fall 2011,"1,54,576"
7,Ginga Eiyuu Densetsu,9.06,"Military, Sci-Fi, Space, Drama","2,52,288",OVA,110, Sentai Filmworks," K-Factory, Kitty Film Mitaka Studio", Novel, 26 min. ,Null,"13,243"
8,Gintama',9.06,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","4,06,132",TV,51," None found, add some", Sunrise, Manga, 24 min. ,Spring 2011,"6,090"
9,Gintama': Enchousen,9.04,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","2,46,557",TV,13," None found, add some", Sunrise, Manga, 24 min. ,Fall 2012,"2,425"
10,3-gatsu no Lion 2nd Season,8.99,"Drama, Game, Seinen, Slice of Life","3,05,858",TV,22, Aniplex of America, Shaft, Manga, 25 min. ,Fall 2017,"12,282"
11,Gintama.,8.98,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","2,30,086",TV,12," None found, add some", Bandai Namco Pictures, Manga, 24 min. ,Winter 2017,"2,194"
12,Koe no Katachi,8.98,"Drama, School, Shounen","16,49,174",Movie,1," Eleven Arts, NYAV Post", Kyoto Animation, Manga, 2 hr. 10 min.,Null,"62,989"
13,Shingeki no Kyojin: The Final Season,8.97,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","11,97,276",TV,16, Funimation, MAPPA, Manga, 23 min. ,Winter 2021,"45,630"
14,Clannad: After Story,8.95,"Slice of Life, Comedy, Supernatural, Drama, Romance","9,88,243",TV,24, Sentai Filmworks, Kyoto Animation, Visual novel, 24 min. ,Fall 2008,"61,824"
15,Gintama,8.95,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","8,39,036",TV,201," Sentai Filmworks, Crunchyroll", Sunrise, Manga, 24 min. ,Spring 2006,"48,648"
16,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","1,85,993",Movie,1," None found, add some", Sunrise, Manga, 1 hr. 50 min.,Null,"1,862"
17,Kimi no Na wa.,8.92,"Romance, Supernatural, School, Drama","20,25,638",Movie,1," Funimation, NYAV Post", CoMix Wave Films, Original, 1 hr. 46 min.,Null,"71,893"
18,Owarimonogatari 2nd Season,8.92,"Mystery, Comedy, Supernatural, Vampire","3,06,185",TV,7, Aniplex of America, Shaft, Light novel, 22 min. ,Summer 2017,"6,796"
19,Code Geass: Hangyaku no Lelouch R2,8.91,"Action, Military, Sci-Fi, Super Power, Drama, Mecha","14,02,298",TV,25," Funimation, Bandai Entertainment", Sunrise, Original, 24 min. ,Spring 2008,"64,176"
20,Shiguang Dailiren,8.89,"Super Power, Drama, Fantasy","49,829",ONA,11, Funimation, Haoliners Animation League, Original, 23 min. ,Null,"1,349"
21,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.87,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","1,34,601",TV,14," None found, add some", Bandai Namco Pictures, Manga, 24 min. ,Summer 2018,840
22,Violet Evergarden Movie,8.85,"Slice of Life, Drama, Fantasy","2,76,925",Movie,1, Funimation, Kyoto Animation, Light novel, 2 hr. 20 min.,Null,"2,098"
23,Gintama: The Final,8.84,"Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen","49,042",Movie,1, Eleven Arts, Bandai Namco Pictures, Manga, 1 hr. 44 min.,Null,"1,020"
24,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.82,"Comedy, Sports, Drama, School, Shounen","8,70,275",TV,10, Sentai Filmworks, Production I.G, Manga, 24 min. ,Fall 2016,"12,780"
25,Mob Psycho 100 II,8.82,"Action, Slice of Life, Comedy, Supernatural","10,09,224",TV,13, Funimation, Bones, Web manga, 24 min. ,Winter 2019,"22,801"
26,Gintama.: Shirogane no Tamashii-hen,8.81,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","1,47,803",TV,12," None found, add some", Bandai Namco Pictures, Manga, 24 min. ,Winter 2018,938
27,Kizumonogatari III: Reiketsu-hen,8.81,"Action, Mystery, Supernatural, Vampire","3,50,977",Movie,1, Aniplex of America, Shaft, Light novel, 1 hr. 23 min.,Null,"5,555"
28,Odd Taxi,8.8,Mystery,"1,28,979",TV,13," None found, add some"," OLM, P.I.C.S.", Original, 23 min. ,Spring 2021,"2,254"
29,Sen to Chihiro no Kamikakushi,8.8,"Adventure, Supernatural, Drama","14,11,645",Movie,1," Walt Disney Studios, GKIDS", Studio Ghibli, Original, 2 hr. 4 min.,Null,"24,631"
30,Monster,8.79,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller","7,12,901",TV,74, VIZ Media, Madhouse, Manga, 24 min. ,Spring 2004,"30,135"
31,Monogatari Series: Second Season,8.78,"Mystery, Comedy, Supernatural, Romance, Vampire","5,53,595",TV,26, Aniplex of America, Shaft, Light novel, 24 min. ,Summer 2013,"20,555"
32,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.78,"Action, Supernatural, Magic, Fantasy","1,99,001",Movie,1, Aniplex of America, ufotable, Visual novel, 2 hr. 2 min.,Null,"4,617"
33,Cowboy Bebop,8.77,"Action, Adventure, Comedy, Drama, Sci-Fi, Space","13,99,263",TV,26," Funimation, Bandai Entertainment", Sunrise, Original, 24 min. ,Spring 1998,"61,420"
34,Jujutsu Kaisen (TV),8.77,"Action, Demons, Supernatural, School, Shounen","12,96,373",TV,24," None found, add some", MAPPA, Manga, 23 min. ,Fall 2020,"47,539"
35,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.77,"Drama, Historical, Josei","1,53,432",TV,12," None found, add some", Studio Deen, Manga, 24 min. ,Winter 2017,"2,677"
36,Mushishi Zoku Shou 2nd Season,8.75,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","2,15,515",TV,10, Aniplex of America, Artland, Manga, 23 min. ,Fall 2014,"1,162"
37,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.75,"Action, Historical, Demons, Supernatural, Shounen","7,05,031",Movie,1, Aniplex of America, ufotable, Manga, 1 hr. 56 min.,Null,"7,776"
38,Hajime no Ippo,8.74,"Comedy, Sports, Drama, Shounen","4,23,504",TV,75," Discotek Media, Geneon Entertainment USA", Madhouse, Manga, 23 min. ,Fall 2000,"15,470"
39,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.72,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen","2,39,574",OVA,4," ADV Films, Aniplex of America", Studio Deen, Manga, 30 min. ,Null,"5,463"
40,Vinland Saga,8.72,"Action, Adventure, Historical, Drama, Seinen","8,53,551",TV,24, Sentai Filmworks, Wit Studio, Manga, 24 min. ,Summer 2019,"22,578"
41,Mushishi Zoku Shou,8.71,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","2,45,506",TV,10, Aniplex of America, Artland, Manga, 24 min. ,Spring 2014,"1,282"
42,Code Geass: Hangyaku no Lelouch,8.71,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School","17,66,434",TV,25," Funimation, Bandai Entertainment", Sunrise, Original, 24 min. ,Fall 2006,"89,539"
43,Made in Abyss,8.71,"Sci-Fi, Adventure, Mystery, Drama, Fantasy","9,77,544",TV,13, Sentai Filmworks, Kinema Citrus, Web manga, 25 min. ,Summer 2017,"31,953"
44,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.71,"Sci-Fi, Adventure, Mystery, Drama, Fantasy","2,60,035",Movie,1, Sentai Filmworks, Kinema Citrus, Web manga, 1 hr. 45 min.,Null,"1,878"
45,Great Teacher Onizuka,8.7,"Slice of Life, Comedy, Drama, School, Shounen","6,45,923",TV,43," Discotek Media, Tokyopop", Studio Pierrot, Manga, 25 min. ,Summer 1999,"20,659"
46,Mononoke Hime,8.7,"Action, Adventure, Fantasy","9,69,372",Movie,1, GKIDS, Studio Ghibli, Original, 2 hr. 13 min.,Null,"16,453"
47,Shigatsu wa Kimi no Uso,8.7,"Music, Drama, Romance, School, Shounen","16,76,269",TV,22, Aniplex of America, A-1 Pictures, Manga, 22 min. ,Fall 2014,"71,037"
48,Mushishi,8.68,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","6,72,106",TV,26, Funimation, Artland, Manga, 25 min. ,Fall 2005,"22,775"
49,Ashita no Joe 2,8.68,"Action, Drama, Shounen, Slice of Life, Sports","34,649",TV,47," None found, add some", Tokyo Movie Shinsha, Manga, 24 min. ,Fall 1980,"1,648"
50,Haikyuu!! Second Season,8.68,"Comedy, Sports, Drama, School, Shounen","10,46,544",TV,25, Sentai Filmworks, Production I.G, Manga, 24 min. ,Fall 2015,"13,567"
51,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.68,"Comedy, Psychological, Romance, School, Seinen","8,45,675",TV,12, Aniplex of America, A-1 Pictures, Manga, 24 min. ,Spring 2020,"15,898"
52,Hajime no Ippo: New Challenger,8.66,"Comedy, Sports, Drama, Shounen","2,17,971",TV,26," None found, add some", Madhouse, Manga, 23 min. ,Winter 2009,"1,442"
53,Howl no Ugoku Shiro,8.66,"Adventure, Drama, Fantasy, Romance","9,67,467",Movie,1, Walt Disney Studios, Studio Ghibli, Novel, 1 hr. 59 min.,Null,"18,817"
54,Natsume Yuujinchou Shi,8.66,"Slice of Life, Demons, Supernatural, Drama, Shoujo","2,05,839",TV,13," NIS America, Inc.", Brain's Base, Manga, 24 min. ,Winter 2012,"1,763"
55,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.66,"Drama, Romance, School, Supernatural","4,65,020",Movie,1, Aniplex of America, CloverWorks, Light novel, 1 hr. 30 min.,Null,"7,373"
56,Tengen Toppa Gurren Lagann,8.65,"Action, Sci-Fi, Adventure, Comedy, Mecha","13,17,341",TV,27," ADV Films, Bandai Entertainment, Aniplex of America", Gainax, Original, 24 min. ,Spring 2007,"66,713"
57,Violet Evergarden,8.65,"Slice of Life, Drama, Fantasy","12,53,548",TV,13, Funimation, Kyoto Animation, Light novel, 24 min. ,Winter 2018,"39,983"
58,Natsume Yuujinchou Roku,8.64,"Slice of Life, Demons, Supernatural, Drama, Shoujo","1,47,790",TV,11," None found, add some", Shuka, Manga, 23 min. ,Spring 2017,884
59,Suzumiya Haruhi no Shoushitsu,8.64,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural","5,18,464",Movie,1," Funimation, Bandai Entertainment", Kyoto Animation, Light novel, 2 hr. 42 min.,Null,"11,593"
60,Shingeki no Kyojin Season 3,8.63,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","15,73,035",TV,12, Funimation, Wit Studio, Manga, 23 min. ,Summer 2018,"15,159"
61,Death Note,8.63,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen","29,68,435",TV,37, VIZ Media, Madhouse, Manga, 23 min. ,Fall 2006,"1,35,323"
62,Josee to Tora to Sakana-tachi,8.63,"Slice of Life, Drama, Romance","1,49,391",Movie,1, Funimation, Bones, Novel, 1 hr. 38 min.,Null,"2,213"
63,Mushishi Zoku Shou: Suzu no Shizuku,8.62,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","1,04,249",Movie,1," None found, add some", Artland, Manga, 47 min.,Null,179
64,Ookami Kodomo no Ame to Yuki,8.62,"Fantasy, Slice of Life","6,67,970",Movie,1, Funimation, Studio Chizu, Original, 1 hr. 57 min.,Null,"9,784"
65,Ping Pong the Animation,8.62,"Drama, Psychological, Seinen, Sports","2,99,455",TV,11, Funimation, Tatsunoko Production, Manga, 23 min. ,Spring 2014,"12,149"
66,Kizumonogatari II: Nekketsu-hen,8.61,"Action, Mystery, Supernatural, Vampire","3,44,110",Movie,1, Aniplex of America, Shaft, Light novel, 1 hr. 4 min.,Null,"1,897"
67,Fumetsu no Anata e,8.6,"Adventure, Drama, Shounen, Supernatural","4,62,138",TV,20," None found, add some", Brain's Base, Manga, 25 min. ,Spring 2021,"6,273"
68,Yakusoku no Neverland,8.6,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen","14,05,840",TV,12, Aniplex of America, CloverWorks, Manga, 22 min. ,Winter 2019,"29,355"
69,Yojouhan Shinwa Taikei,8.6,"Mystery, Comedy, Psychological, Romance","3,44,657",TV,11, Funimation, Madhouse, Novel, 23 min. ,Spring 2010,"14,695"
70,Natsume Yuujinchou San,8.59,"Slice of Life, Demons, Supernatural, Drama, Shoujo","2,13,247",TV,13," NIS America, Inc.", Brain's Base, Manga, 24 min. ,Summer 2011,"1,222"
71,Shouwa Genroku Rakugo Shinjuu,8.59,"Drama, Historical, Josei","2,41,820",TV,13," None found, add some", Studio Deen, Manga, 26 min. ,Winter 2016,"5,091"
72,Hajime no Ippo: Rising,8.59,"Comedy, Sports, Drama, Shounen","1,91,888",TV,25," None found, add some"," Madhouse, MAPPA", Manga, 22 min. ,Fall 2013,939
73,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.59,"Action, Adventure, Shounen","6,61,282",TV,39, VIZ Media, David Production, Manga, 23 min. ,Fall 2018,"21,518"
74,Kimetsu no Yaiba,8.59,"Action, Demons, Historical, Shounen, Supernatural","18,83,554",TV,26, Aniplex of America, ufotable, Manga, 23 min. ,Spring 2019,"60,305"
75,Kimi no Suizou wo Tabetai,8.59,"Slice of Life, Drama, Romance","5,88,158",Movie,1, Aniplex of America, Studio VOLN, Novel, 1 hr. 48 min.,Null,"13,036"
76,Fate/Zero 2nd Season,8.58,"Action, Supernatural, Magic, Fantasy","8,93,636",TV,12, Aniplex of America, ufotable, Light novel, 24 min. ,Spring 2012,"17,543"
77,Fruits Basket 2nd Season,8.58,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo","2,93,050",TV,25, Funimation, TMS Entertainment, Manga, 23 min. ,Spring 2020,"3,906"
78,Natsume Yuujinchou Go,8.58,"Slice of Life, Demons, Supernatural, Drama, Shoujo","1,47,337",TV,11," None found, add some", Shuka, Manga, 23 min. ,Fall 2016,657
79,One Piece,8.57,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen","15,64,808",TV,9999," Funimation, 4Kids Entertainment", Toei Animation, Manga, 24 min.,Fall 1999,"1,25,934"
80,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,"Action, Sci-Fi, Space, Super Power, Mecha","1,79,388",Movie,1, Aniplex of America, Gainax, Original, 2 hr. 5 min.,Null,791
81,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.57,"Action, Fantasy, Magic, Supernatural","2,56,073",Movie,1, Aniplex of America, ufotable, Visual novel, 1 hr. 57 min.,Null,"2,722"
82,Bakuman. 3rd Season,8.56,"Comedy, Drama, Romance, Shounen","2,84,535",TV,25," None found, add some", J.C.Staff, Manga, 24 min. ,Fall 2012,"2,712"
83,Mushishi: Hihamukage,8.56,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","1,13,688",Special,1," None found, add some", Artland, Manga, 45 min.,Null,153
84,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.56,"Drama, Fantasy, Psychological, Thriller","5,42,710",TV,12," None found, add some", White Fox, Light novel, 28 min. ,Winter 2021,"9,119"
85,Zoku Natsume Yuujinchou,8.56,"Slice of Life, Demons, Supernatural, Drama, Shoujo","2,11,732",TV,13," NIS America, Inc.", Brain's Base, Manga, 24 min. ,Winter 2009,"1,309"
86,Sora yori mo Tooi Basho,8.55,"Adventure, Comedy, Drama","3,83,907",TV,13," None found, add some", Madhouse, Original, 23 min. ,Winter 2018,"11,079"
87,Yuru Camp△ Season 2,8.55,"Slice of Life, Comedy","1,44,146",TV,13," None found, add some", C-Station, Manga, 23 min. ,Winter 2021,"1,852"
88,Haikyuu!!: To the Top 2nd Season,8.55,"Comedy, Sports, Drama, School, Shounen","4,94,778",TV,12," None found, add some", Production I.G, Manga, 23 min. ,Fall 2020,"4,207"
89,Kara no Kyoukai 5: Mujun Rasen,8.55,"Action, Mystery, Supernatural, Drama, Romance, Thriller","2,00,592",Movie,1, Aniplex of America, ufotable, Light novel, 1 hr. 54 min.,Null,"3,942"
90,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.54,"Action, Adventure, Comedy, Demons, Magic, Fantasy","2,66,090",TV,12," None found, add some", 8bit, Light novel,9999,Summer 2021,"3,805"
91,Vivy: Fluorite Eye's Song,8.54,"Action, Music, Sci-Fi, Thriller","2,72,614",TV,13, Aniplex of America, Wit Studio, Original, 24 min. ,Spring 2021,"5,047"
